#written data 
1 
3 1 
#u v length
14 6 
#u vec
0.0 0.0 0.0 0.0 1.35 3.08 3.08 3.27 3.85 4.2 5.0 5.0 5.0 5.5 
#v vec
0.0 0.0 0.33333334 0.6666667 1.0 1.3333334 

#curve 0
-380.408 -454.152 0.0 
-380.408 -451.996 0.0 
-380.408 -221.298 0.0 
-104.433 54.6775 0.0 
48.647 54.6775 0.0 
109.017 26.6488 0.0 
137.045 -16.4723 0.0 
137.045 -204.049 0.0 
-113.057 -454.152 0.0 
-380.408 -454.152 0.0 

#curve 1
-380.408 -454.152 100.0 
-380.408 -451.996 100.0 
-380.38 -301.216 100.0 
-180.282 -101.117 100.0 
-77.374 -101.117 100.0 
-28.7786 -126.844 100.0 
-28.7786 -155.43 100.0 
-28.7786 -252.62 100.0 
-228.877 -452.719 100.0 
-380.408 -454.152 100.0 

#curve 2
-380.408 -454.152 200.0 
-380.408 -451.996 200.0 
-379.623 -338.72 200.0 
-236.618 -195.715 200.0 
-173.896 -195.715 200.0 
-141.281 -208.26 200.0 
-123.719 -240.875 200.0 
-128.737 -313.632 200.0 
-269.233 -454.128 200.0 
-380.408 -454.152 200.0 

#curve 3
-380.408 -454.152 300.0 
-380.408 -451.996 300.0 
-379.623 -366.318 300.0 
-329.446 -318.649 300.0 
-299.339 -308.614 300.0 
-251.671 -311.123 300.0 
-229.091 -353.773 300.0 
-229.091 -419.004 300.0 
-286.795 -454.128 300.0 
-380.408 -454.152 300.0 

